S.NO.,NAME OF THE COLLEGE,NAME OF THE PROGRAM,UR,OBC,SC,ST,EWS,SIKH,PwBD,extra_col_10,extra_col_11,extra_col_12,extra_col_13,extra_col_14,extra_col_15,extra_col_16,extra_col_17,extra_col_18,extra_col_19,extra_col_20,extra_col_21,extra_col_22,extra_col_23,extra_col_24,extra_col_25,extra_col_26,extra_col_27,extra_col_28,extra_col_29
1,None,None,0,0,0,0,0,0,4,None,None,0,None,None,0,None,None,4,None,None,0,None,None,0,None,None,6,None,None
2,None,None,0,0,0,0,0,0,2,None,None,5,None,None,5,None,None,5,None,None,2,None,None,0,None,None,3,None,None
3,None,None,0,0,0,0,0,0,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,3,None,None
4,None,None,0,0,0,0,0,0,8,None,None,5,None,None,3,None,None,5,None,None,2,None,None,0,None,None,3,None,None
5,None,None,0,0,0,0,0,0,7,None,None,8,None,None,2,None,None,4,None,None,2,None,None,0,None,None,3,None,None
6,None,None,0,0,0,0,0,0,3,None,None,2,None,None,1,None,None,1,None,None,1,None,None,0,None,None,2,None,None
7,None,None,0,0,0,0,0,0,2,None,None,1,None,None,3,None,None,2,None,None,3,None,None,0,None,None,3,None,None
8,None,None,0,0,0,0,0,0,6,None,None,3,None,None,3,None,None,2,None,None,2,None,None,0,None,None,3,None,None
9,None,None,0,0,0,0,0,0,2,None,None,7,None,None,0,None,None,4,None,None,2,None,None,0,None,None,3,None,None
10,None,None,0,0,0,0,0,0,8,None,None,9,None,None,7,None,None,4,None,None,4,None,None,0,None,None,3,None,None
11,None,None,0,0,0,0,0,0,12,None,None,5,None,None,3,None,None,3,None,None,3,None,None,0,None,None,2,None,None
12,None,None,0,0,0,0,0,0,9,None,None,15,None,None,8,None,None,4,None,None,7,None,None,0,None,None,2,None,None
13,None,None,0,0,0,0,0,0,15,None,None,14,None,None,7,None,None,4,None,None,7,None,None,0,None,None,3,None,None
14,None,None,0,0,0,0,0,0,7,None,None,5,None,None,0,None,None,5,None,None,1,None,None,0,None,None,3,None,None
15,None,None,0,0,0,0,0,0,16,None,None,9,None,None,4,None,None,3,None,None,4,None,None,0,None,None,3,None,None
16,None,None,0,0,0,0,0,0,2,None,None,7,None,None,0,None,None,5,None,None,6,None,None,0,None,None,3,None,None
17,None,None,0,0,0,0,0,0,7,None,None,5,None,None,3,None,None,2,None,None,3,None,None,0,None,None,1,None,None
18,None,None,0,0,0,0,0,0,7,None,None,5,None,None,3,None,None,2,None,None,2,None,None,0,None,None,1,None,None
19,None,None,0,0,0,0,0,0,6,None,None,4,None,None,2,None,None,2,None,None,2,None,None,0,None,None,2,None,None
20,None,None,0,0,0,0,0,0,16,None,None,12,None,None,8,None,None,4,None,None,6,None,None,0,None,None,3,None,None
21,None,None,0,0,0,0,0,0,8,None,None,4,None,None,3,None,None,2,None,None,2,None,None,0,None,None,1,None,None
22,None,None,0,0,0,0,0,0,5,None,None,5,None,None,3,None,None,2,None,None,2,None,None,0,None,None,1,None,None
23,None,None,0,0,0,0,0,0,7,None,None,4,None,None,3,None,None,2,None,None,3,None,None,0,None,None,1,None,None
